Order_ID,Return_year,Return_Month,Return_day,Hour,Minute,Second,Return_Date
7328,2021,7,13,14,50,32,7/13/21
7522,2021,10,6,8,9,52,10/6/21
5546,2020,11,13,14,6,31,11/13/20
6237,2021,1,22,14,49,9,1/22/21
6987,2021,7,9,14,36,16,7/9/21
6794,2021,7,5,11,46,0,7/5/21
777,2018,5,29,16,31,2,5/29/18
1221,2018,10,2,16,38,45,10/2/18
7592,2021,12,5,8,8,41,12/5/21
1832,2018,12,27,8,47,47,12/27/18
3145,2019,8,3,12,56,53,8/3/19
1258,2018,10,22,8,2,6,10/22/18
6605,2021,6,5,10,21,33,6/5/21
7168,2021,8,26,16,35,44,8/26/21
6598,2021,5,27,15,0,0,5/27/21
4888,2020,6,17,9,20,42,6/17/20
5323,2020,10,24,13,44,47,10/24/20
986,2018,7,7,9,22,52,7/7/18
3381,2019,8,27,9,14,1,8/27/19
439,2018,5,13,12,8,45,5/13/18
5827,2020,12,11,12,26,32,12/11/20
3612,2019,12,25,13,20,42,12/25/19
2642,2019,4,28,9,58,35,4/28/19
6505,2021,3,24,13,48,26,3/24/21
2463,2019,6,19,8,5,11,6/19/19
6415,2021,3,17,11,35,35,3/17/21
6435,2021,3,28,12,26,39,3/28/21
6487,2021,4,1,12,32,19,4/1/21
4543,2020,3,19,12,32,7,3/19/20
6723,2021,6,18,8,30,1,6/18/21
5317,2020,8,27,13,16,24,8/27/20
570,2018,4,27,11,49,29,4/27/18
1039,2018,8,3,12,45,3,8/3/18
5452,2020,10,18,9,31,10,10/18/20
5363,2020,8,6,15,34,50,8/6/20
6293,2021,4,1,12,26,6,4/1/21
315,2018,3,7,10,41,49,3/7/18
1660,2018,12,19,9,53,46,12/19/18
3541,2019,10,30,16,25,2,10/30/19
6916,2021,6,29,13,41,59,6/29/21
7709,2021,11,5,15,49,48,11/5/21
3128,2019,10,17,15,12,2,10/17/19
1001,2018,9,3,9,6,20,9/3/18
1870,2018,12,2,11,51,12,12/2/18
3557,2020,1,2,12,47,31,1/2/20
7785,2021,12,29,14,5,37,12/29/21
2800,2019,5,28,10,59,55,5/28/19
1399,2018,9,15,8,48,1,9/15/18
1041,2018,9,10,13,18,42,9/10/18
5562,2020,10,15,10,27,31,10/15/20
7017,2021,8,27,10,44,48,8/27/21
334,2018,5,12,11,52,24,5/12/18
2243,2019,3,17,10,39,14,3/17/19
6243,2021,2,27,9,10,56,2/27/21
1581,2018,11,5,9,5,35,11/5/18
5224,2020,8,27,14,31,17,8/27/20
1893,2018,12,14,16,3,35,12/14/18
381,2018,5,25,14,20,59,5/25/18
6464,2021,3,8,10,43,3,3/8/21
1962,2019,2,28,15,30,27,2/28/19
718,2018,6,17,15,12,39,6/17/18
1808,2018,12,9,9,19,15,12/9/18
205,2018,3,10,13,22,45,3/10/18
5836,2021,1,8,14,42,56,1/8/21
4898,2020,6,25,9,57,43,6/25/20
2028,2019,1,24,12,48,43,1/24/19
1430,2018,10,1,11,32,33,10/1/18
7168,2021,7,5,14,15,8,7/5/21
7145,2021,8,29,11,0,44,8/29/21
7683,2021,10,1,8,31,45,10/1/21
4426,2020,3,7,11,0,27,3/7/20
1944,2019,3,13,11,40,13,3/13/19
3522,2019,11,25,12,21,31,11/25/19
253,2018,3,24,11,40,30,3/24/18
1357,2018,10,31,8,43,2,10/31/18
2284,2019,2,24,8,2,59,2/24/19
6170,2021,2,28,15,38,41,2/28/21
6099,2020,12,17,11,22,26,12/17/20
2265,2019,4,30,9,50,6,4/30/19
3121,2019,9,30,14,17,59,9/30/19
7787,2021,10,4,8,36,41,10/4/21
7522,2021,11,19,14,17,46,11/19/21
4723,2020,5,10,9,39,31,5/10/20
7979,2021,11,15,13,48,13,11/15/21
6244,2021,2,9,13,35,26,2/9/21
1965,2019,1,14,13,18,40,1/14/19
8195,2021,12,18,8,49,52,12/18/21
1195,2018,8,11,15,4,20,8/11/18
5741,2020,12,31,16,15,9,12/31/20
8394,2022,3,1,12,24,24,3/1/22
2149,2019,2,4,14,33,32,2/4/19
1722,2019,1,7,9,43,43,1/7/19
7229,2021,9,7,16,13,29,9/7/21
3421,2019,9,18,15,59,40,9/18/19
5624,2020,11,19,15,7,24,11/19/20
4872,2020,6,9,11,1,19,6/9/20
5409,2020,10,19,16,42,51,10/19/20
2639,2019,5,5,8,45,22,5/5/19
1910,2019,2,26,8,10,8,2/26/19
2193,2019,4,14,14,27,8,4/14/19
8128,2022,1,26,13,11,4,1/26/22
7008,2021,8,6,8,14,3,8/6/21
1558,2019,1,3,10,6,1,1/3/19
6472,2021,3,13,12,55,9,3/13/21
6819,2021,6,4,15,25,39,6/4/21
3766,2019,12,19,9,15,18,12/19/19
2582,2019,5,2,13,52,50,5/2/19
4031,2020,2,13,13,44,4,2/13/20
75,2018,5,4,9,21,5,5/4/18
2228,2019,2,7,15,57,34,2/7/19
5343,2020,9,11,12,53,26,9/11/20
396,2018,4,20,13,26,40,4/20/18
7916,2021,11,4,8,19,52,11/4/21
5321,2020,10,9,15,48,44,10/9/20
