Order_ID,Order_Date,Order_YearMonth,Retailer_ID,Product_SKU, Product_Price , Product_Cost , Order_Quantity , Sales_Amount , Cost_of_Goods_Sold ,Product_Discount,Profit,Profit_Margin
1,01/01/18,201801,99,MH01-S-Gray, £38.00 , £14.00 ,29," £1,102.00 ", £406.00 ,7.32%, £696.00 ,63%
2,01/01/18,201801,477,MH01-S-Orange, £33.00 , £8.58 ,29, £957.00 , £248.82 ,15.38%, £708.18 ,74%
3,01/01/18,201801,399,MH01-XL-Black, £36.00 , £20.25 ,12, £432.00 , £243.00 ,14.29%, £189.00 ,44%
4,01/01/18,201801,131,MH01-XL-Gray, £37.00 , £18.57 ,8, £296.00 , £148.56 ,17.78%, £147.44 ,50%
5,01/01/18,201801,682,MH01-XL-Orange, £37.00 , £13.14 ,4, £148.00 , £52.56 ,7.50%, £95.44 ,64%
6,01/01/18,201801,626,MH01-XS-Black, £43.00 , £9.98 ,4, £172.00 , £39.92 ,0.00%, £132.08 ,77%
7,01/01/18,201801,369,MH01-XS-Gray, £27.00 , £12.96 ,12, £324.00 , £155.52 ,35.71%, £168.48 ,52%
8,01/01/18,201801,760,MH01-XS-Orange, £26.00 , £18.45 ,15, £390.00 , £276.75 ,39.53%, £113.25 ,29%
9,01/01/18,201801,199,MH02-S-Blue, £20.00 , £17.37 ,12, £240.00 , £208.44 ,55.56%, £31.56 ,13%
10,01/01/18,201801,616,MH02-L-Black, £36.00 , £14.38 ,49," £1,764.00 ", £704.62 ,12.20%," £1,059.38 ",60%
11,01/02/18,201801,506,MH02-L-Purple, £39.00 , £14.42 ,42," £1,638.00 ", £605.64 ,11.36%," £1,032.36 ",63%
12,01/02/18,201801,288,MH02-L-Red, £43.00 , £20.59 ,17, £731.00 , £350.03 ,2.27%, £380.97 ,52%
13,01/02/18,201801,539,MH02-M-Black, £36.00 , £11.70 ,3, £108.00 , £35.10 ,20.00%, £72.90 ,68%
14,01/03/18,201801,584,MH02-M-Purple, £44.00 , £15.62 ,23," £1,012.00 ", £359.26 ,0.00%, £652.74 ,65%
15,01/03/18,201801,203,MH02-M-Red, £38.00 , £15.80 ,11, £418.00 , £173.80 ,9.52%, £244.20 ,58%
16,01/03/18,201801,768,MH02-S-Black, £36.00 , £13.68 ,25, £900.00 , £342.00 ,16.28%, £558.00 ,62%
17,01/03/18,201801,677,MH02-S-Purple, £25.00 , £13.87 ,29, £725.00 , £402.23 ,44.44%, £322.77 ,45%
18,01/03/18,201801,49,MH02-S-Red, £27.00 , £22.80 ,6, £162.00 , £136.80 ,37.21%, £25.20 ,16%
19,01/03/18,201801,440,MH02-XL-Black, £39.00 , £16.30 ,43," £1,677.00 ", £700.90 ,7.14%, £976.10 ,58%
20,01/03/18,201801,581,MH02-XL-Purple, £40.00 , £17.93 ,21, £840.00 , £376.53 ,11.11%, £463.47 ,55%
21,01/03/18,201801,454,MH02-XL-Red, £44.00 , £22.88 ,5, £220.00 , £114.40 ,2.22%, £105.60 ,48%
22,01/03/18,201801,379,MH02-XS-Black, £26.00 , £16.12 ,43," £1,118.00 ", £693.16 ,35.00%, £424.84 ,38%
23,01/03/18,201801,86,MH02-XS-Purple, £38.00 , £18.62 ,48," £1,824.00 ", £893.76 ,13.64%, £930.24 ,51%
24,01/03/18,201801,382,MH02-XS-Red, £23.00 , £10.43 ,6, £138.00 , £62.58 ,28.13%, £75.42 ,55%
25,01/03/18,201801,119,MH03-S-Red, £36.00 , £17.32 ,24, £864.00 , £415.68 ,18.18%, £448.32 ,52%
26,01/03/18,201801,752,MH03-L-Black, £42.00 , £14.28 ,49," £2,058.00 ", £699.72 ,6.67%," £1,358.28 ",66%
27,01/03/18,201801,776,MH03-L-Blue, £37.00 , £14.69 ,41," £1,517.00 ", £602.29 ,17.78%, £914.71 ,60%
28,01/03/18,201801,360,MH03-L-Green, £35.00 , £11.95 ,33," £1,155.00 ", £394.35 ,20.45%, £760.65 ,66%
29,01/04/18,201801,570,MH03-M-Black, £28.00 , £16.16 ,2, £56.00 , £32.32 ,36.36%, £23.68 ,42%
30,01/04/18,201801,542,MH03-M-Blue, £45.00 , £16.14 ,23," £1,035.00 ", £371.22 ,0.00%, £663.78 ,64%
31,01/04/18,201801,677,MH03-M-Green, £24.00 , £17.55 ,30, £720.00 , £526.50 ,46.67%, £193.50 ,27%
32,01/04/18,201801,67,MH03-S-Black, £34.00 , £21.80 ,1, £34.00 , £21.80 ,24.44%, £12.20 ,36%
33,01/04/18,201801,89,MH03-S-Blue, £30.00 , £14.18 ,46," £1,380.00 ", £652.28 ,31.82%, £727.72 ,53%
34,01/04/18,201801,33,MH03-S-Green, £45.00 , £23.91 ,19, £855.00 , £454.29 ,0.00%, £400.71 ,47%
35,01/04/18,201801,257,MH03-XL-Black, £39.00 , £18.63 ,34," £1,326.00 ", £633.42 ,13.33%, £692.58 ,52%
36,01/04/18,201801,282,MH03-XL-Blue, £37.00 , £18.29 ,29," £1,073.00 ", £530.41 ,17.78%, £542.59 ,51%
37,01/04/18,201801,327,MH03-XL-Green, £34.00 , £13.43 ,17, £578.00 , £228.31 ,20.93%, £349.69 ,61%
38,01/04/18,201801,295,MH03-XS-Black, £35.00 , £11.93 ,27, £945.00 , £322.11 ,5.41%, £622.89 ,66%
39,01/04/18,201801,664,MH03-XS-Blue, £40.00 , £16.24 ,46," £1,840.00 ", £747.04 ,4.76%," £1,092.96 ",59%
40,01/04/18,201801,189,MH03-XS-Green, £22.00 , £12.26 ,23, £506.00 , £281.98 ,46.34%, £224.02 ,44%
41,01/04/18,201801,149,MH04-S-Red, £38.00 , £13.47 ,6, £228.00 , £80.82 ,5.00%, £147.18 ,65%
42,01/05/18,201801,161,MH04-L-Green, £20.00 , £12.29 ,30, £600.00 , £368.70 ,55.56%, £231.30 ,39%
43,01/05/18,201801,416,MH04-L-White, £22.00 , £8.91 ,46," £1,012.00 ", £409.86 ,51.11%, £602.14 ,60%
44,01/05/18,201801,647,MH04-L-Yellow, £40.00 , £15.28 ,34," £1,360.00 ", £519.52 ,0.00%, £840.48 ,62%
45,01/05/18,201801,468,MH04-M-Green, £41.00 , £20.50 ,7, £287.00 , £143.50 ,8.89%, £143.50 ,50%
46,01/05/18,201801,112,MH04-M-White, £39.00 , £22.62 ,6, £234.00 , £135.72 ,0.00%, £98.28 ,42%
47,01/05/18,201801,762,MH04-M-Yellow, £42.00 , £16.75 ,11, £462.00 , £184.25 ,2.33%, £277.75 ,60%
48,01/05/18,201801,616,MH04-S-Green, £31.00 , £16.63 ,3, £93.00 , £49.89 ,26.19%, £43.11 ,46%
49,01/05/18,201801,106,MH01-L-Orange, £35.00 , £14.35 ,2, £70.00 , £28.70 ,16.67%, £41.30 ,59%
50,01/05/18,201801,82,MH04-S-White, £45.00 , £20.55 ,3, £135.00 , £61.65 ,0.00%, £73.35 ,54%
51,01/06/18,201801,410,MH04-S-Yellow, £23.00 , £18.22 ,25, £575.00 , £455.50 ,48.89%, £119.50 ,21%
52,01/06/18,201801,68,MH04-XL-Green, £24.00 , £14.08 ,3, £72.00 , £42.24 ,45.45%, £29.76 ,41%
53,01/06/18,201801,117,MH04-XL-White, £43.00 , £14.51 ,16, £688.00 , £232.16 ,0.00%, £455.84 ,66%
54,01/06/18,201801,105,MH04-XL-Yellow, £32.00 , £13.22 ,23, £736.00 , £304.06 ,21.95%, £431.94 ,59%
55,01/07/18,201801,291,MH04-XS-Green, £26.00 , £13.34 ,1, £26.00 , £13.34 ,42.22%, £12.66 ,49%
56,01/07/18,201801,606,MH04-XS-White, £43.00 , £16.50 ,24," £1,032.00 ", £396.00 ,0.00%, £636.00 ,62%
57,01/07/18,201801,136,MH04-XS-Yellow, £31.00 , £13.36 ,43," £1,333.00 ", £574.48 ,24.39%, £758.52 ,57%
58,01/07/18,201801,549,MH05-S-Blue, £33.00 , £16.01 ,39," £1,287.00 ", £624.39 ,26.67%, £662.61 ,51%
59,01/07/18,201801,433,MH05-L-Green, £28.00 , £18.23 ,11, £308.00 , £200.53 ,33.33%, £107.47 ,35%
60,01/07/18,201801,452,MH05-L-Red, £22.00 , £9.69 ,9, £198.00 , £87.21 ,47.62%, £110.79 ,56%
61,01/07/18,201801,53,MH05-L-White, £21.00 , £10.92 ,47, £987.00 , £513.24 ,51.16%, £473.76 ,48%
62,01/07/18,201801,422,MH05-M-Green, £35.00 , £12.81 ,44," £1,540.00 ", £563.64 ,22.22%, £976.36 ,63%
63,01/08/18,201801,152,MH05-M-Red, £20.00 , £11.75 ,30, £600.00 , £352.50 ,53.49%, £247.50 ,41%
64,01/08/18,201801,559,MH05-M-White, £42.00 , £15.43 ,34," £1,428.00 ", £524.62 ,0.00%, £903.38 ,63%
65,01/08/18,201801,689,MH05-S-Green, £39.00 , £11.82 ,32," £1,248.00 ", £378.24 ,4.88%, £869.76 ,70%
66,01/08/18,201801,62,MH05-S-Red, £27.00 , £11.90 ,3, £81.00 , £35.70 ,38.64%, £45.30 ,56%
67,01/08/18,201801,67,MH05-S-White, £34.00 , £21.09 ,16, £544.00 , £337.44 ,22.73%, £206.56 ,38%
68,01/08/18,201801,560,MH05-XL-Green, £28.00 , £9.04 ,31, £868.00 , £280.24 ,3.45%, £587.76 ,68%
69,01/08/18,201801,306,MH05-XL-Red, £33.00 , £14.15 ,48," £1,584.00 ", £679.20 ,23.26%, £904.80 ,57%
70,01/08/18,201801,122,MH05-XL-White, £21.00 , £9.42 ,35, £735.00 , £329.70 ,38.24%, £405.30 ,55%
71,01/08/18,201801,716,MH05-XS-Green, £26.00 , £13.78 ,24, £624.00 , £330.72 ,38.10%, £293.28 ,47%
72,01/08/18,201801,367,MH05-XS-Red, £22.00 , £18.63 ,43, £946.00 , £801.09 ,51.11%, £144.91 ,15%
73,01/08/18,201801,9,MH05-XS-White, £25.00 , £12.89 ,19, £475.00 , £244.91 ,40.48%, £230.09 ,48%
74,01/08/18,201801,395,MH06-S-Red, £25.00 , £14.92 ,49," £1,225.00 ", £731.08 ,44.44%, £493.92 ,40%
75,01/09/18,201801,768,MH06-L-Black, £39.00 , £14.04 ,18, £702.00 , £252.72 ,11.36%, £449.28 ,64%
76,01/09/18,201801,207,MH06-L-Blue, £28.00 , £13.42 ,20, £560.00 , £268.40 ,34.88%, £291.60 ,52%
77,01/09/18,201801,191,MH06-L-Purple, £27.00 , £16.20 ,31, £837.00 , £502.20 ,38.64%, £334.80 ,40%
78,01/09/18,201801,724,MH06-M-Black, £28.00 , £13.52 ,19, £532.00 , £256.88 ,36.36%, £275.12 ,52%
79,01/09/18,201801,722,MH06-M-Blue, £38.00 , £20.80 ,29," £1,102.00 ", £603.20 ,11.63%, £498.80 ,45%
80,01/09/18,201801,546,MH06-M-Purple, £38.00 , £17.86 ,44," £1,672.00 ", £785.84 ,2.56%, £886.16 ,53%
81,01/09/18,201801,41,MH06-S-Black, £26.00 , £14.20 ,18, £468.00 , £255.60 ,40.91%, £212.40 ,45%
82,01/10/18,201801,658,MH06-S-Blue, £43.00 , £15.31 ,40," £1,720.00 ", £612.40 ,0.00%," £1,107.60 ",64%
